uti,platform,original_id
osmo,cosmos,ibc/14F9BC3E44B8A9C1BE1FB08980FAB87034C9905EF17CF2F5008FC085218811CC
osmo,osmosis,osmo
oxt,,oxt
oxt,ethereum,0x4575f41308ec1483f3d399aa9a2826d74da13deb
paxg,,0x7950865a9140cb519342433146ed5b40c6f210f7
paxg,,paxg
paxg,ethereum,0x45804880de22913dafe09f4980848ece6ecbaf78
people,,people
people,ethereum,0x7a58c0be72be218b41c608b7fe7c5bb630736c71
perl,,perl
perl,bsc,0x0f9e4d49f25de22c2202af916b681fbb3790497b
perl,ethereum,0xeca82185adce47f39c684352b0439f030f860318
perp,,perp
perp,ethereum,0xbc396689893d065f41bc2c6ecbee5e0085233447
pha,,pha
pha,ethereum,0x6c5ba91642f10282b576d91922ae6448c9d52f4e
phb,,phb
phb,bsc,0x0409633a72d846fc5bbe2f98d88564d35987904d
pivx,,pivx
pla,,pla
pla,ethereum,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430
pla,polygon,0x8765f05adce126d70bcdf1b0a48db573316662eb
pnt,,pnt
pnt,bsc,0xdaacb0ab6fb34d24e8a67bfa14bf4d95d4c7af92
pnt,ethereum,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed
poa,,poa
poa,ethereum,0x6758b7d441a9739b98552b373703d8d3d14f9e62
pols,,pols
pols,bsc,0x7e624fa0e1c4abfd309cc15719b7e2580887f570
pols,ethereum,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa
poly,,poly
poly,ethereum,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
pond,,pond
pond,ethereum,0x57b946008913b82e4df85f501cbaed910e58d26c
porto,,porto
porto,bsc,0x49f2145d6366099e13b10fbf80646c0f377ee7f6
powr,,powr
powr,ethereum,0x595832f8fc6bf59c85c527fec3740a1b7a361269
ppt,,ppt
ppt,ethereum,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a
prom,,prom
prom,bsc,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5
prom,ethereum,0xfc82bb4ba86045af6f327323a46e80412b91b27d
pros,,pros
pros,bsc,0xed8c8aa8299c10f067496bb66f8cc7fb338a3405
pros,ethereum,0x8642a849d0dcb7a15a974794668adcfbe4794b56
pros,polygon,0x6109cb051c5c64093830121ed76272ab04bbdd7c
psg,,psg
pundix,,pundix
pundix,ethereum,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38
pyr,,pyr
pyr,ethereum,0x430ef9263e76dae63c84292c3409d61c598e9682
pyr,polygon,0x430ef9263e76dae63c84292c3409d61c598e9682
qi,,qi
qkc,,qkc
qkc,ethereum,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664
qlc,,qlc
qnt,,qnt
qnt,ethereum,0x4a220e6096b25eadb88358cb44068a3248254675
qsp,,qsp
qsp,ethereum,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d
qtum,qtum,qtum
quick,,quick
quick,ethereum,0x6c28aef8977c9b773996d0e8376d2ee379446f2f
quick,polygon,0x831753dd7087cac61ab5644b308642cc1c33dc13
rad,,rad
rad,ethereum,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3
ramp,,ramp
ramp,bsc,0x8519ea49c997f50ceffa444d240fb655e89248aa
ramp,ethereum,0x33d0568941c0c64ff7e0fb4fba0b11bd37deed9f
ramp,polygon,0xaecebfcf604ad245eaf0d5bd68459c3a7a6399c2
rare,,rare
rare,ethereum,0xba5bde662c17e2adff1075610382b9b691296350
ray,,ray
ray,bsc,0x13b6a55662f6591f8b8408af1c73b017e32eedb8
ray,ethereum,0x5245c0249e5eeb2a0838266800471fd32adb1089
rcn,,rcn
rcn,ethereum,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6
rdn,,rdn
rdn,ethereum,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6
reef,,reef
reef,bsc,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e
reef,ethereum,0xfe3e6a25e6b192a42a44ecddcd13796471735acf
regen,cosmos,ibc/1FBDD58D438B4D04D26CBFB2E722C18984A0F1A52468C4F42F37D102F3D3F399
regen,osmosis,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
regen,regen,regen
ren,,ren
ren,ethereum,0x408e41876cccdc0f92210600ef50372656052a38
renbtc,,renbtc
renbtc,bsc,0xfce146bf3146100cfe5db4129cf6c82b0ef4ad8c
renbtc,ethereum,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d
renbtc,polygon,0xdbf31df14b66535af65aac99c32e9ea844e14501
rep,,rep
rep,ethereum,0x221657776846890989a759ba2973e427dff5c9bb
req,,req
req,ethereum,0x8f8221afbb33998d8584a2b05749ba73c37a938a
req,polygon,0xb25e20de2f2ebb4cffd4d16a55c7b395e8a94762
rgt,,rgt
rgt,ethereum,0xd291e7a03283640fdc51b121ac401383a46cc623
rgt,polygon,0xf4bb0ed25ac7bcc9c327b88bac5ca288a08ec41e
rif,,rif
rlc,,rlc
rlc,ethereum,0x607f4c5bb672230e8672085532f7e901544a7375
rndr,,rndr
rndr,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
rndr,polygon,0x61299774020da444af134c82fa83e3810b309991
rose,,rose
rose,bsc,0x6c6d604d3f07abe287c1a3df0281e999a83495c0
rose,ethereum,0x26b80fbfc01b71495f477d5237071242e0d959d7
rowan,cosmos,ibc/F5ED5F3DC6F0EF73FA455337C027FE91ABCB375116BF51A228E44C493E020A09
rsr,,rsr
rsr,ethereum,0x320623b8e4ff03373931769a31fc52a4e78b5d70
rune,,rune
rune,ethereum,0x3155ba85d5f96b2d030a4966af206230e46849cb
rvn,,rvn
salt,,salt
salt,ethereum,0x4156d3342d5c385a87d264f90653733592000581
sand,,sand
sand,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0
sand,polygon,0xbbba073c31bf03b8acf7c28ef0738decf3695683
santos,,santos
santos,bsc,0xa64455a4553c9034236734faddaddbb64ace4cc7
sc,,sc
scrt,cosmos,ibc/1542F8DC70E7999691E991E1EDEB1B47E65E3A217B1649D347098EE48ACB580F
scrt,osmosis,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A
scrt,secret,scrt
sfp,,sfp
sfp,bsc,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb
shib,,shib
shib,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
skeb,,skeb
skeb,ethereum,0x6D614686550B9E1c1DF4b2cD8f91C9D4df66C810
skl,,skl
skl,ethereum,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
slp,,slp
slp,bsc,0x070a08beef8d36734dd67a491202ff35a6a16d97
slp,ethereum,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25
snm,,snm
snm,bsc,0x46d0dac0926fa16707042cadc23f1eb4141fe86b
snm,ethereum,0x46d0dac0926fa16707042cadc23f1eb4141fe86b
snt,,snt
snt,ethereum,0x744d70fdbe2ba4cf95131626614a1763df805b9e
snx,,snx
snx,bsc,0x9ac983826058b8a9c7aa1c9171441191232e8404
snx,ethereum,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
snx,polygon,0x50b728d8d964fd00c2d0aad81718b71311fef68a
sol,,sol
sparta,,sparta
sparta,bsc,0x3910db0600ea925f63c36ddb1351ab6e2c6eb102
spell,,spell
spell,ethereum,0x090185f2135308bad17527004364ebcc2d37e5f6
srm,,srm
srm,bsc,0xd63cdf02853d759831550fae7df8fffe0b317b39
srm,ethereum,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff
ssv,,ssv
ssv,ethereum,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54
steem,,steem
stg,,stg
stg,bsc,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
stg,ethereum,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6
stg,polygon,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590
stmx,,stmx
stmx,ethereum,0xbe9375c6a420d2eeb258962efb95551a5b722803
storj,,storj
storj,ethereum,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac
stpt,,stpt
stpt,ethereum,0xde7d85157d9714eadf595045cc12ca4a5f3e2adb
strax,,strax
strax,ethereum,0xa3c22370de5f9544f0c4de126b1e46ceadf0a51b
sun,,sun
super,,super
super,bsc,0x51ba0b044d96c3abfca52b64d733603ccc4f0d4d
super,ethereum,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
super,polygon,0xa1428174f516f527fafdd146b883bb4428682737
susd,,susd
susd,ethereum,0x57ab1ec28d129707052df4df418d58a2d46d5f51
sushi,,sushi
sushi,bsc,0x947950bcc74888a40ffa2593c5798f11fc9124c4
sushi,ethereum,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2
sushi,polygon,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a
swp,kava,swp
swrv,,swrv
swrv,ethereum,0xb8baa0e4287890a5f79863ab62b7f175cecbd433
sxp,,sxp
sxp,bsc,0x47bead2563dcbf3bf2c9407fea4dc236faba485a
sxp,ethereum,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
sys,,sys
t,,t
t,ethereum,0xcdf7028ceab81fa0c6971208e83fa7872994bee5
tct,,tct
tct,bsc,0xca0a9df6a8cad800046c1ddc5755810718b65c44
tct,ethereum,0x4824a7b64e3966b0133f4f4ffb1b9d6beb75fff7
tfuel,,tfuel
theta,,theta
tko,,tko
tko,bsc,0x9f589e3eabe42ebc94a44727b3f3531c0c877809
tlm,,tlm
tlm,bsc,0x2222227e22102fe3322098e4cbfe18cfebd57c95
tlm,ethereum,0x888888848b652b3e3a0f34c96e00eec0f3a23f72
tnb,,tnb
tnb,ethereum,0xf7920b0768ecb20a123fac32311d07d193381d6f
tnt,,tnt
tnt,ethereum,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8
tomo,,tomo
tomo,ethereum,0x05d3606d5c81eb9b7b18530995ec9b29da05faba
torn,,torn
torn,bsc,0x1ba8d3c4c219b124d351f603060663bd1bcd9bbf
torn,ethereum,0x77777feddddffc19ff86db637967013e6c6a116c
trb,,trb
trb,ethereum,0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0
trb,polygon,0xe3322702bedaaed36cddab233360b939775ae5f1
tribe,,tribe
tribe,ethereum,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b
troy,,troy
tru,,tru
tru,ethereum,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784
trx,,trx
trx,bsc,0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b
tusd,,tusd
tusd,bsc,0x14016e85a25aeb13065688cafb43044c2ef86784
tusd,ethereum,0x0000000000085d4780b73119b644ae5ecd22b376
tusd,polygon,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756
tvk,,tvk
tvk,ethereum,0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988
twt,,twt
twt,bsc,0x4b0f1812e5df2a09796481ff14017e6005508003
uft,,uft
uft,bsc,0x2645d5f59d952ef2317c8e0aaa5a61c392ccd44d
uft,ethereum,0x0202be363b8a4820f3f4de7faf5224ff05943ab1
uft,polygon,0x5b4cf2c120a9702225814e18543ee658c5f8631e
uma,,uma
uma,ethereum,0x04fa0d235c4abf4bcf4787af4cf447de572ef828
umee,cosmos,ibc/DEC41A02E47658D40FC71E5A35A9C807111F5A6662A3FB5DA84C4E6F53E616B3
umee,osmosis,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C
umee,umee,umee
unfi,,unfi
unfi,bsc,0x728c5bac3c3e370e372fc4671f9ef6916b814d8b
unfi,ethereum,0x441761326490cacf7af299725b6292597ee822c2
uni,,uni
uni,bsc,0xbf5140a22578168fd562dccf235e5d43a02ce9b1
uni,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
uni,polygon,0xb33eaad8d922b1083446dc23f610c2567fb5180f
usdc,,usdc
usdc,bsc,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d
usdc,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
usdc,polygon,0x2791bca1f2de4661ed88a30c99a7a9449aa84174
usdp,,usdp
usdp,bsc,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094
usdp,ethereum,0x8e870d67f660d95d5be530380d0ec0bd388289e1
usds,ethereum,0xa4bdb11dc0a2bec88d24a3aa1e6bb17201112ebe
usdt,,usdt
usdt,bsc,0x55d398326f99059fF775485246999027B3197955
usdt,ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7
usdt,polygon,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
usdx,kava,usdx
ust,osmosis,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC
ust,terra,ust
ustc,,ustc
ustc,bsc,0x23396cf899ca06c4472205fc903bdb4de249d6fc
ustc,ethereum,0xa47c8bf37f92abed4a126bda807a7b7498661acd
ustc,polygon,0x692597b009d13c4049a947cab2239b7d6517875f
utk,,utk
utk,ethereum,0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c
vet,,vet
vet,bsc,0x6fdcdfef7c496407ccb0cec90f9c5aaa1cc8d888
vgx,,vgx
vgx,ethereum,0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d
via,,via
vib,,vib
vib,ethereum,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724
vidt,,vidt
vidt,bsc,0x3f515f0a8e93f2e2f891ceeb3db4e62e202d7110
vidt,ethereum,0xfef4185594457050cc9c23980d301908fe057bb1
vite,,vite
vite,bsc,0x2794dad4077602ed25a88d03781528d1637898b4
vite,ethereum,0xadd5e881984783dd432f80381fb52f45b53f3e70
voxel,,voxel
voxel,polygon,0xd0258a3fd00f38aa8090dfee343f10a9d4d30d3f
vtho,,vtho
wabi,,wabi
wabi,ethereum,0x286bda1413a2df81731d4930ce2f862a35a609fe
wan,,wan
waves,,waves
waves,ethereum,0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a
waxp,,waxp
wbtc,,wbtc
wbtc,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
wbtc,polygon,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6
win,,win
win,bsc,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99
wing,,wing
wing,bsc,0x3cb7378565718c64ab86970802140cc48ef1f969
wing,ethereum,0xdb0f18081b505a7de20b18ac41856bcb4ba86a1a
wnxm,,wnxm
wnxm,ethereum,0x0d438f3b5175bebc262bf23753c1e53d03432bde
woo,,woo
woo,bsc,0x4691937a7508860f876c9c0a2a617e7d9e945d4b
woo,ethereum,0x4691937a7508860f876c9c0a2a617e7d9e945d4b
woo,polygon,0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603
wrx,,wrx
wrx,bsc,0x8e17ed70334c87ece574c9d537bc153d8609e2a3
wrx,polygon,0x72d6066f486bd0052eefb9114b66ae40e0a6031a
wtc,,wtc
wtc,ethereum,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74
xec,,xec
xem,,xem
xki,cosmos,ibc/533E5FFC606FD11B8DCA309C66AFD6A1F046EF784A73F323A332CF6823F0EA87
xlm,stellar,xlm
xmr,,xmr
xno,,xno
xprt,cosmos,ibc/81D08BC39FB520EBD948CF017910DD69702D34BF5AC160F76D3B5CFC444EBCE0
xprt,osmosis,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293
xprt,persistence,xprt
xrp,,xrp
xrp,bsc,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE
xtz,,xtz
xtz,bsc,0x16939ef78684453bfdfb47825f8a5f714f12623a
xvg,,xvg
xvs,,xvs
xvs,bsc,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63
xym,symbol,xym
yfi,,yfi
yfi,bsc,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e
yfi,ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
yfi,polygon,0xda537104d6a5edd53c6fbba9a898708e465260b6
yfii,,yfii
yfii,bsc,0x7f70642d88cf1c4a3a7abb072b53b929b653eda5
yfii,ethereum,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83
ygg,,ygg
ygg,ethereum,0x25f8087ead173b73d6e8b84329989a8eea16cf73
zec,,zec
zec,bsc,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb
zen,,zen
zil,,zil
zil,bsc,0xb86abcb37c3a4b64f74f59301aff131a1becc787
zrx,,zrx
zrx,ethereum,0xe41d2489571d322189246dafa5ebde1f4699f498
