uti,platform,original_id,description,primary
realt-s-11078-longview-st-detroit-mi/11078-longview,xdai,0xd5fc0c4c4c5ff316e1e91494d963ff1d52ba25ff,"11078-longview@RealT - 11078 Longview St, Detroit, MI 48213",TRUE
realt-s-11078-longview-st-detroit-mi/11078-longview,ethereum,0xd5fc0c4c4c5ff316e1e91494d963ff1d52ba25ff,"11078-longview@RealT - 11078 Longview St, Detroit, MI 48213",
realt-s-11078-wayburn-st-detroit-mi/11078-wayburn,xdai,0xb8403b7730368942a5bfe5aac04a31b44015b1cc,"11078-wayburn@RealT - 11078 Wayburn St, Detroit, MI 48224",TRUE
realt-s-11078-wayburn-st-detroit-mi/11078-wayburn,ethereum,0xb8403b7730368942a5bfe5aac04a31b44015b1cc,"11078-wayburn@RealT - 11078 Wayburn St, Detroit, MI 48224",
realt-s-11201-college-st-detroit-mi/11201-college,xdai,0x5e2a09064b2dca8c44aad8a5b69a69bb1854fe72,"11201-college@RealT - 11201 College St, Detroit, MI 48205",TRUE
realt-s-11201-college-st-detroit-mi/11201-college,ethereum,0x5e2a09064b2dca8c44aad8a5b69a69bb1854fe72,"11201-college@RealT - 11201 College St, Detroit, MI 48205",
realt-s-11300-roxbury-st-detroit-mi/11300-roxbury,xdai,0x9b5b4886033b4abc5eb0552fff7c15a67c3c47c7,"11300-roxbury@RealT - 11300 Roxbury St, Detroit, MI 48224",TRUE
realt-s-11300-roxbury-st-detroit-mi/11300-roxbury,ethereum,0x9b5b4886033b4abc5eb0552fff7c15a67c3c47c7,"11300-roxbury@RealT - 11300 Roxbury St, Detroit, MI 48224",
realt-s-11653-nottingham-rd-detroit-mi/11653-nottingham,xdai,0x31820af2d43c08bd82bd94b08974062482bd98d3,"11653-nottingham@RealT - 11653 Nottingham Rd, Detroit, MI 48224",TRUE
realt-s-11653-nottingham-rd-detroit-mi/11653-nottingham,ethereum,0x31820af2d43c08bd82bd94b08974062482bd98d3,"11653-nottingham@RealT - 11653 Nottingham Rd, Detroit, MI 48224",
realt-s-11957-olga-st-detroit-mi/11957-olga,xdai,0xdd833d0eef6d5d7cec781b03c19f3b425f3039df,"11957-olga@RealT - 11957 Olga St, Detroit, MI 48213",TRUE
realt-s-11957-olga-st-detroit-mi/11957-olga,ethereum,0xdd833d0eef6d5d7cec781b03c19f3b425f3039df,"11957-olga@RealT - 11957 Olga St, Detroit, MI 48213",
elvn/11-minutes,binance-smart-chain,0x1c7e44543e0fff4a9c4c5561c3fdba3d6227c657,11-minutes@11 Minutes,TRUE
